nTopics,PCA,max_iter,f_score1,balanced_accuracy1,precision_macro1,recall_macro1,f_score_macro1,precision_weighted1,recall_weighted1,f_score_weighted1,kappa1,kappa_linear1,kappa_quadratic1,f_score2,balanced_accuracy2,precision_macro2,recall_macro2,f_score_macro2,precision_weighted2,recall_weighted2,f_score_weighted2,kappa2,kappa_linear2,kappa_quadratic2
20,20,5000,0.5221238938053098,0.28618542380764606,0.23510445260920804,0.28618542380764606,0.2514772597335834,0.46465051966593135,0.5221238938053098,0.48520467044632265,0.4117142446773555,0.37205223276550625,0.37643788147103185,0.32616940581542353,0.2438731989825523,0.21703628738318245,0.2438731989825523,0.19436101079062504,0.4668549189005872,0.32616940581542353,0.36663935176688434,0.2421996185861085,0.2421359605966411,0.26276295050055043
50,20,5000,0.504424778761062,0.2343826023471008,0.19668111876913,0.2343826023471008,0.20379546385076544,0.45306146949959347,0.504424778761062,0.4710325753366259,0.38864122558829617,0.3164317209116887,0.24825967202353683,0.38811630847029077,0.23678946180640414,0.2185832560417578,0.23678946180640414,0.20300788550756196,0.48023078931534796,0.38811630847029077,0.41784338640065893,0.2934580405126085,0.2480132286784097,0.20702455053814883
50,50,5000,0.561314791403287,0.3455228009657466,0.33004505527547,0.3455228009657466,0.30707675330821843,0.5487040857641566,0.561314791403287,0.5379729311256927,0.46641433434227386,0.42598297364586557,0.4109848249279412,0.42351453855878635,0.30747419663635805,0.26584508542047797,0.30747419663635805,0.258371394178034,0.533328537655546,0.42351453855878635,0.4600495198590566,0.338589954230724,0.3307248670231011,0.3299035932501161
150,20,5000,0.5132743362831859,0.19475960725022398,0.17692623608147712,0.19475960725022398,0.1789273519029964,0.4435400630102637,0.5132743362831859,0.4676924884934241,0.39566196679995635,0.3244990635502989,0.27992800628813486,0.3198482932996207,0.23016755802425085,0.19962838158784876,0.23016755802425085,0.17685647884182326,0.45714218021261865,0.3198482932996207,0.3586531145582895,0.23367205634218768,0.17707115652250782,0.15976248098337587
150,50,5000,0.5436156763590392,0.2668584519752478,0.27888694002653824,0.2668584519752478,0.2598425731221016,0.5011189905705924,0.5436156763590392,0.5112658429784737,0.43725587573360447,0.36135826609804134,0.3360910131383913,0.35651074589127685,0.37181809779683755,0.24420663346659027,0.37181809779683755,0.2274331285424289,0.5027880577844935,0.35651074589127685,0.39823678396823575,0.27504627528935566,0.23043931461408784,0.22460254315898176
150,150,5000,0.5575221238938053,0.3165277721002023,0.3304010716108669,0.3165277721002023,0.31326738995565023,0.5278192819345202,0.5575221238938053,0.5345010499174664,0.45853706238998626,0.41589257230472465,0.3967461206843307,0.3805309734513274,0.3522640951626113,0.25627547388842226,0.3522640951626113,0.2508192367804078,0.5192470307674374,0.3805309734513274,0.42071822984332236,0.2995192655244705,0.2717742977131632,0.25149093594151695
300,20,5000,0.504424778761062,0.24950836888717945,0.18272879997595784,0.24950836888717945,0.19880896465617287,0.4436515948470143,0.504424778761062,0.4616092231219745,0.39015865960463925,0.3107553933530567,0.2528575450509688,0.36283185840707965,0.21180376201670087,0.19022671977789327,0.21180376201670087,0.1705105851523361,0.47318824665105413,0.36283185840707965,0.39815142103037077,0.27252156902818936,0.2023494717990394,0.14287219881354862
300,50,5000,0.5524652338811631,0.30037285795848856,0.3005556175996042,0.30037285795848856,0.2629142748461402,0.5233166203847556,0.5524652338811631,0.5232118954366893,0.45576356441493626,0.4206708511942747,0.39669840163168235,0.40960809102402024,0.30161089527922263,0.2574615191685055,0.30161089527922263,0.24270146780036356,0.5445151458074465,0.40960809102402024,0.45059130681613363,0.3283275693406502,0.26895806463970584,0.23109211054072776
300,150,5000,0.5714285714285714,0.33441868517732887,0.3525975982924196,0.33441868517732887,0.314836621787799,0.560367541335782,0.5714285714285714,0.5502491717006311,0.479336484056744,0.4506357728738579,0.4334964867849401,0.46017699115044247,0.3690114747736331,0.2958736055358483,0.3690114747736331,0.29102060526358137,0.5873623382719901,0.46017699115044247,0.5012774386512884,0.3832521976035439,0.3274945406900569,0.28663790833043623
300,300,5000,0.5802781289506953,0.33858691515387995,0.37892096932853,0.33858691515387995,0.3231903271811022,0.5749143216292416,0.5802781289506953,0.5597360924305996,0.4899965431657609,0.47323732622991754,0.46468231520155623,0.4589127686472819,0.3748485451542226,0.2968318617760436,0.3748485451542226,0.2920172971410338,0.592545715052371,0.4589127686472819,0.5008876534317432,0.38364908115744667,0.29463217286678633,0.22395974075911973
500,20,5000,0.5322376738305942,0.21571796228079507,0.18920725820691442,0.21571796228079507,0.19885646818021505,0.47665304318510227,0.5322376738305942,0.4965542854842294,0.42328989008477147,0.36322519339016557,0.33103964026574895,0.40075853350189633,0.28481504216418657,0.23903675168771904,0.28481504216418657,0.20483844704524445,0.5254194757661339,0.40075853350189633,0.4299513296251113,0.3146094322687496,0.3176422925825928,0.3122409987620346
500,50,5000,0.5689001264222503,0.3799739649037736,0.3179740640848133,0.3799739649037736,0.3253648935199918,0.5461307620769175,0.5689001264222503,0.543368732163007,0.47679299522436935,0.45147310044553624,0.45968423516443735,0.43489254108723135,0.37363528336684826,0.29469303629369464,0.37363528336684826,0.28651480753806996,0.5777683158739751,0.43489254108723135,0.4799774112616454,0.3567526265520534,0.3481697153103521,0.35778689401776487
500,150,5000,0.5764854614412137,0.39636825706072526,0.3072188137509568,0.39636825706072526,0.33037952592041275,0.5493114035724649,0.5764854614412137,0.5532347800018376,0.4880466618752849,0.4551646339860377,0.45709240417640107,0.47029077117572693,0.410455773101246,0.30795919577977543,0.410455773101246,0.3159373760496365,0.5814789361157316,0.47029077117572693,0.5054574302276016,0.39183656992074745,0.38833184528288,0.4020606029666003
500,300,5000,0.5777496839443742,0.3999970262985806,0.31996437445004006,0.3999970262985806,0.3394292515296588,0.5555791251502791,0.5777496839443742,0.5582569318509782,0.4901904785796022,0.4638360259327311,0.4671756335582573,0.47914032869785084,0.41249767976138435,0.3160355424395839,0.41249767976138435,0.3187709619607277,0.6057136634769947,0.47914032869785084,0.5180331581011135,0.4044142775947176,0.39505870503152274,0.40144865345343506
