tree1,tree2,dist
112,2386,0.00032781655098726437
3366,2173,0.00032937951684187255
1089,3052,0.00032984006096776
3528,2145,0.00033173622465881847
3356,3349,0.000333300096557361
1492,2708,0.00033414186149960043
176,189,0.0003348869808914561
3313,3247,0.0003352962426751184
3387,1908,0.0003369717152768171
914,1189,0.00033697905037206877
3384,3333,0.00033828091880884134
1435,3008,0.000340382051887354
3417,1021,0.0003433991785693922
2807,3239,0.00034501394167011507
82,2336,0.00034509765399618614
1470,2656,0.00034540676397060675
128,944,0.00034547749354455013
683,3200,0.0003460106739603293
267,3231,0.0003471675265047658
594,2952,0.00034740357094774355
540,3416,0.00034778455641727365
292,2437,0.0003478986232596584
2891,3065,0.0003479786054635236
537,904,0.0003481756445210711
1484,2168,0.00034956866688541643
327,3195,0.00034975722731752333
908,1827,0.0003506393099820416
19,3274,0.00035210544861128193
629,1014,0.00035218894098408213
2196,2426,0.0003533732830264119
3430,2518,0.00035410222759632917
31,1944,0.00035412255662524775
3432,2825,0.0003543583330742721
1543,2834,0.0003544608862462474
3323,1414,0.00035551709603444046
1150,2438,0.0003559905219787593
159,1121,0.0003577662400267075
1773,2497,0.00035781244138125695
3508,1800,0.00035789187553345557
393,3040,0.00035917617950446956
54,1496,0.0003594291623693728
3410,2693,0.00035967618021539097
2283,2501,0.00035984337140248547
3126,3224,0.0003599618326253391
219,1101,0.00036172682339957046
81,1231,0.0003618313796293522
1200,2855,0.00036570355888316825
3398,2132,0.00036632822439847633
3345,2713,0.0003665674872504847
742,3275,0.0003669877818454261
656,875,0.00036707591777393293
1059,2873,0.000367866168979436
1038,1964,0.00036900194387706406
896,2063,0.0003699770207435532
2024,2559,0.00037023651092931917
3505,3162,0.0003703582480808366
855,2850,0.00037087822928666414
3413,3412,0.0003736873229773178
1284,2971,0.0003739140268464239
100,719,0.0003741347840686398
829,3379,0.00037439450261575816
816,3051,0.00037472024043514254
1802,3245,0.00037496583352437246
1680,2116,0.00037578705711832985
1767,1830,0.00037622918003683836
1810,2820,0.0003770376525499882
501,2845,0.00037715852204378564
1463,2484,0.0003776901144657979
3408,1900,0.0003786794868127913
971,1753,0.00037873253438432466
3483,2313,0.000379120966654033
1677,3295,0.00038046469232409785
881,1737,0.0003813811723304139
1086,1132,0.0003819184765561784
1576,2319,0.00038192418654866764
1501,2047,0.0003825209872263015
3389,625,0.00038263588063225905
1818,2147,0.0003829819444269682
1791,2546,0.0003841519145183405
2177,2722,0.00038474574597124195
1968,2142,0.00038494476671907876
517,1137,0.00038531725587277743
70,1523,0.00038720764687995117
3459,964,0.00038758868495936214
3436,3563,0.000390841545682738
1327,3021,0.0003929424222925276
1828,3338,0.0003937942225916797
1642,2293,0.0003963535104253308
1161,3172,0.00039664648546421013
465,3215,0.00039669830056621863
759,1672,0.00039935103702001297
325,3259,0.000399880658009541
652,3434,0.0004007786737084216
288,1046,0.0004021796199068471
2424,3154,0.0004027531627704313
735,792,0.00040332869148456893
2476,2792,0.000404555619504806
1304,3254,0.0004054947120908474
3596,699,0.00040556278726088576
1064,2146,0.0004057015750993827
1323,1361,0.0004058484303935961
265,3414,0.0004062287124098722
1210,1679,0.0004084856557642347
1739,2925,0.0004089735799481832
601,1355,0.0004090783928450588
1091,1946,0.00041016138847715933
1058,1529,0.0004105160047595188
3377,2841,0.0004127031078625873
235,2152,0.0004132379436522383
2105,3103,0.0004139958870936558
