tree1,tree2,dist
527,673,0.0004313532566006528
827,3308,0.00043427479058816276
628,1535,0.0004544891911048843
1856,3142,0.0004648024611382806
1604,2109,0.00046481866745107236
3304,1940,0.00047210783981366244
1326,2161,0.00048748892984113584
1115,1280,0.00048769912744160704
1659,1836,0.00048796861973804395
744,1183,0.0004891997281430555
187,2542,0.0005098394555488606
3353,1339,0.0005311963833331268
3339,1266,0.0005341020442249933
3348,3340,0.0005396909643231029
724,1628,0.0005405488319965845
1888,2021,0.0005426412281899773
1614,2131,0.0005431933542512646
1388,1393,0.0005436953561252043
2276,2850,0.0005453182463686715
1896,2694,0.0005467021414962414
3349,841,0.0005476261460519161
3333,1401,0.0005508261730976238
1373,1534,0.0005528234291493819
2295,2960,0.0005538650825679531
1243,1395,0.0005586648984718459
1653,3105,0.0005805290863369894
133,954,0.0005846343982354174
2365,2712,0.0005879657569822783
1110,1923,0.0005890331047118669
2129,2969,0.0005897319445816174
808,2447,0.000597565641745651
432,3255,0.0006128586359754329
3317,1543,0.0006268346278194559
1472,1697,0.0006315797362313746
1164,3354,0.0006336841805517357
704,2092,0.0006356554290972705
140,977,0.0006534790623969333
1355,2332,0.0006564638209314716
410,1299,0.0006597117446263123
1077,1450,0.0006719129318317196
3356,3161,0.0006785393736461476
246,1427,0.0006810220506398568
320,1951,0.0006967848032887747
707,1250,0.0007013882948971317
3352,1822,0.00070323834900754
797,1497,0.000705282255028028
387,3365,0.0007053537567759394
1240,1399,0.0007087064454647518
1901,3002,0.0007157071368030163
720,2732,0.0007230260197174238
781,812,0.0007239233851260574
3367,3084,0.0007398672456915834
49,821,0.0007459932922964374
2331,2572,0.0007486987941427992
913,1100,0.0007528707491435051
1204,1252,0.0007538267237769403
3387,3050,0.0007545720704628112
3312,3305,0.0007899725069449581
1367,1464,0.0007955418882289872
521,1646,0.0007999478009840799
1227,1717,0.0008001185279276068
924,2380,0.0008062698154542129
912,3035,0.0008087453830947222
386,869,0.0008166816860125693
769,3428,0.0008179183226766085
2516,3282,0.0008242726793090127
276,1605,0.0008375641282676177
2052,3125,0.000839834194647282
264,1997,0.0008431066081667771
2363,2819,0.000845204692647511
1035,3290,0.0008709419144893871
1578,1606,0.0008872113303698415
292,3394,0.0008970897918412213
671,1437,0.0009009174873467196
303,1329,0.0009009239507650479
553,1855,0.000904827435489447
30,2970,0.0009128594190686012
3377,1873,0.0009135939398257631
83,2279,0.0009163162660822954
955,1613,0.0009175254075797223
1313,2254,0.0009255842199669684
663,1746,0.0009380445986719096
188,1058,0.0009408436814279941
458,1270,0.0009426856170358516
991,1501,0.000947889970368012
3310,3093,0.0009502442987359694
751,2007,0.0009643451923745522
3357,3016,0.0009648861403334374
1806,2823,0.0009691817672443995
1642,1801,0.0009717369590723935
