nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirstPartyWinner,Acc_IssueArea
2,0.9188353374559897,2,2,0.7851003153755364,0.51952770208901,0.3957008779897063
3,0.5634403801337748,2,2,0.7815350745572333,0.4389948531637905,0.40387526491068726
4,0.488066701700837,2,2,0.7211694590623722,0.43869209809264303,0.4011504692703603
5,0.35001083118801507,2,2,0.7287889877346119,0.41992128368150167,0.3884347562821677
6,0.3267309992950932,2,2,0.7211004735974487,0.387223735997578,0.38086587950348166
7,0.26263716326244724,2,2,0.7198609276803265,0.3869209809264305,0.38086587950348166
8,0.22815145216706267,2,2,0.7203833207790276,0.36633363608840447,0.3578564940962761
9,0.22147695079460672,2,2,0.715807035172818,0.36633363608840447,0.358462004238571
10,0.19493065941929982,2,2,0.7149467127131367,0.36633363608840447,0.35815924916742353
11,0.17727960646530272,2,2,0.7152503865988902,0.32334241598546776,0.34847108689070544
12,0.16341023076695183,2,2,0.7132279001905929,0.32334241598546776,0.3478655767484105
13,0.1533710329330686,2,2,0.7019221044198518,0.32334241598546776,0.34665455646382076
14,0.14200174944873162,2,2,0.7010545882672827,0.32334241598546776,0.3445352709657887
15,0.1355067626222642,2,2,0.6971342527054034,0.32334241598546776,0.34483802603693614
16,0.12338350112221437,2,2,0.6983657230326379,0.32334241598546776,0.3439297608234938
17,0.11904370088813958,2,2,0.7010734144894184,0.32334241598546776,0.3439297608234938
18,0.10572758242904853,2,2,0.6867960828327968,0.3230396609143203,0.3384801695428398
19,0.09570756709809528,2,2,0.6889079713313978,0.3230396609143203,0.3387829246139873
2,1.4670563152271645,2,12,0.436317155446917,0.5897668785952165,0.33969118982742963
3,1.125858350789442,2,12,0.43708305253541546,0.410535876475931,0.42204056917953375
4,1.0472245625329215,2,12,0.3722576703432474,0.4056917953375719,0.41326067211625794
5,0.9113209019344143,2,12,0.32961283153335436,0.2618831365425371,0.35725098395398125
6,0.893709335384275,2,12,0.32851006642352204,0.23826824099303665,0.3303057826218589
7,0.6860245599609336,2,12,0.36503234267716655,0.2125340599455041,0.31244323342415986
8,0.6766413242684601,2,12,0.3706321750434432,0.1943687556766576,0.298819255222525
9,0.6739383401656719,2,12,0.3607845864714426,0.1943687556766576,0.28943384801695426
10,0.6200193027587271,2,12,0.3384896434073438,0.1943687556766576,0.28428701180744775
11,0.5882798574130907,2,12,0.345617865266358,0.1864971238268241,0.2812594610959734
12,0.5364562209499691,2,12,0.3468512726528823,0.1864971238268241,0.27762640024220403
13,0.5234658794622239,2,12,0.32205226500813183,0.1864971238268241,0.27671813502876175
14,0.518123481336731,2,12,0.3379328239060507,0.1677263094156827,0.27308507417499245
15,0.5157696339757336,2,12,0.3414008547440713,0.16439600363306087,0.26309415682712683
16,0.5040985259346518,2,12,0.34321601736997026,0.16439600363306087,0.2627914017559794
17,0.48041857080122796,2,12,0.34302177972903275,0.16439600363306087,0.259763851044505
18,0.4414531940746257,2,12,0.34112621417900707,0.16439600363306087,0.259763851044505
19,0.43804171783361834,2,12,0.3331944447397475,0.16439600363306087,0.25946109597335754
2,3.281431694492539,12,12,0.10340522617723988,0.5982440205873448,0.3139570087798971
3,3.267191493716234,12,12,0.10127949181766908,0.5498032092037541,0.31092945806842265
4,3.0544925234972764,12,12,0.16451965785477518,0.37208598244020585,0.37026945201332123
5,3.0465051044440092,12,12,0.21198801836995404,0.3293975174084166,0.40417801998183467
6,2.858671521856458,12,12,0.21181990182357913,0.3293975174084166,0.4069028156221617
7,2.707860567778252,12,12,0.23260228441853897,0.2582500756887678,0.3424159854677566
8,2.675874552412399,12,12,0.23464116990304193,0.2582500756887678,0.3445352709657887
9,2.662253839964474,12,12,0.2307484478692153,0.25582803511958824,0.34302149561005146
10,2.605672782311881,12,12,0.2778306856257104,0.1880108991825613,0.26733272782319106
11,2.5915611730734707,12,12,0.2990570830356908,0.18740538904026643,0.2633969118982743
12,2.517180250876344,12,12,0.29883054873887854,0.18740538904026643,0.26309415682712683
13,2.345766688294044,12,12,0.2771550286518037,0.17983651226158037,0.2482591583409022
14,2.321485550829444,12,12,0.2500028495250242,0.15985467756584923,0.23251589464123523
15,2.2865904081173403,12,12,0.22564149811476752,0.13260672116257946,0.22797456857402362
16,2.26967013522607,12,12,0.21424230352659102,0.13260672116257946,0.22343324250681199
17,2.257119164444101,12,12,0.20726641241287416,0.1204965183166818,0.2198001816530427
18,2.1659245115649735,12,12,0.2012201304103008,0.1204965183166818,0.21707538601271573
19,2.163335582425574,12,12,0.20172631613117667,0.1204965183166818,0.21707538601271573
2,1.2929467137727078,2,22,0.5643157660403095,0.6264002422040569,0.30154405086285196
3,1.188623982749108,2,22,0.42898181829080284,0.4877384196185286,0.36179231002119283
4,0.9148816667535045,2,22,0.4011243771310153,0.4066000605510142,0.37329700272479566
5,0.7571494013911094,2,22,0.35817988616748364,0.3905540417801998,0.3745080230093854
6,0.6669178629769486,2,22,0.4228712057849518,0.3384801695428398,0.3723887375113533
7,0.6654291241583117,2,22,0.4228557265960489,0.3384801695428398,0.36481986073266726
8,0.6400041688043998,2,22,0.40261001771923566,0.3384801695428398,0.36088404480775055
9,0.6159215773250781,2,22,0.39054694422010383,0.3384801695428398,0.3578564940962761
10,0.5942764471556351,2,22,0.4048828060161672,0.2809567060248259,0.3469573115349682
11,0.5784291553487909,2,22,0.3615459945485622,0.26672721768089613,0.3151680290644868
12,0.500707198066507,2,22,0.35204562861565597,0.26672721768089613,0.3082046624280957
13,0.44162698069130835,2,22,0.35294191355446536,0.26672721768089613,0.30729639721465335
14,0.4234067929815206,2,22,0.35168095792506304,0.26672721768089613,0.30729639721465335
15,0.40564594565923484,2,22,0.34736203352505507,0.26672721768089613,0.3085074174992431
16,0.39585644404080955,2,22,0.28635279219387766,0.25370874962155615,0.28761731759006964
17,0.3889107331965146,2,22,0.28619861001058156,0.25370874962155615,0.28610354223433243
18,0.3870512081076497,2,22,0.2885241288874779,0.25370874962155615,0.28428701180744775
19,0.3805654641029117,2,22,0.2845732744627558,0.25370874962155615,0.27853466545564637
2,3.8550070715406624,12,22,0.03226792930785548,0.6067211625794732,0.3148652739933394
3,3.7715910135624005,12,22,0.06452487222788018,0.43657281259461095,0.2851952770208901
4,3.4268898865153834,12,22,0.09043669172989567,0.38298516500151375,0.3157735392067817
5,3.2133721177539774,12,22,0.11482479448796473,0.288525582803512,0.3236451710566152
6,3.2100580491297537,12,22,0.12946955078063,0.288525582803512,0.3024523160762943
7,3.088833851041653,12,22,0.1460639148524509,0.27399333938843473,0.23917650620647896
8,3.07869921011258,12,22,0.1424466655376512,0.2612776264002422,0.23463518013926735
9,3.0385025154948955,12,22,0.15767999518231285,0.2612776264002422,0.17438692098092642
10,2.8569405144970883,12,22,0.18122443283810014,0.22010293672419012,0.21313957008779896
11,2.8504045522909953,12,22,0.21770332509936421,0.1553133514986376,0.2213139570087799
12,2.7912641490709973,12,22,0.22124125267446113,0.13533151680290645,0.22555252800484407
13,2.7392252180420043,12,22,0.20649672737410954,0.13533151680290645,0.2161671207992734
14,2.6235327761750638,12,22,0.19541237445704882,0.12957917045110506,0.20072661217075385
15,2.616753056554377,12,22,0.18356036521461486,0.12957917045110506,0.19346049046321526
16,2.614896846848778,12,22,0.19454639653121922,0.12957917045110506,0.19255222524977295
17,2.5527872201477373,12,22,0.20267164948850003,0.12957917045110506,0.19921283681501664
18,2.55201961421713,12,22,0.19301837938941446,0.12957917045110506,0.19194671510747804
19,2.498617444097759,12,22,0.1850665495239324,0.1262488646684832,0.18407508325764457
2,4.6130543723544095,22,22,0.0740879838028069,0.5410233121404784,0.3387829246139873
3,4.260584808492804,22,22,0.07222835005561694,0.4871329094762337,0.3154707841356343
4,4.217015141496446,22,22,0.07893975455747883,0.4062973054798668,0.3418104753254617
5,4.138322997717467,22,22,0.08153992075608894,0.3763245534362701,0.3121404783530124
6,4.012789865588566,22,22,0.10026455192337853,0.27096578867696036,0.3178928247048138
7,3.7729661986252347,22,22,0.10378973369507856,0.27096578867696036,0.31668180442022403
8,3.7592939203278806,22,22,0.09936785655576126,0.27096578867696036,0.3169845594913715
9,3.7250181729918435,22,22,0.11617976927035181,0.25734181047532545,0.25855283075991525
10,3.6447530690850685,22,22,0.131026260446635,0.18256130790190736,0.24159854677565848
11,3.6099042681600295,22,22,0.14379326604807685,0.18256130790190736,0.22040569179533756
12,3.5953459944831354,22,22,0.14927463236275373,0.18256130790190736,0.22101120193763246
